ID,contact_title,contact_h1,contact_form,email_form,name_form,nom_form,username_form,login_form,password_form,mdp_form,recherche_form,search_form,newsletter_form,commentaire_form,cart_form,textarea_form,class
28,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
29,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
30,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
31,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
32,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1
33,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
34,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
35,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
36,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1
37,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1
38,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
39,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
40,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
41,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
42,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1
43,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1
44,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
45,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
46,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
47,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
48,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
49,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
50,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
51,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
52,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
53,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
54,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
55,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
56,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
57,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
58,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
59,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
60,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
61,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
62,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
63,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
64,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
65,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
66,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
67,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
68,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
69,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
70,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
71,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
72,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
73,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
74,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
75,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
76,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
77,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
88,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
111,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
112,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
113,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
114,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
115,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
116,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
117,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
118,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
119,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
120,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
121,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
122,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
123,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
124,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
125,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
126,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
127,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
128,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
129,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
130,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
131,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
132,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
133,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
134,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
135,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
136,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
137,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
138,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
139,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
140,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
141,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
142,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
143,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
144,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
145,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0
146,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0
147,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0
148,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0
149,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0
150,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0
151,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0
152,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0
153,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0
154,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0
155,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0
156,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
157,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
158,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
159,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
160,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
161,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
162,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
163,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
164,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
165,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
166,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
167,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
168,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
169,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
170,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
171,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
172,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
173,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
174,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
175,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
176,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0
178,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0
179,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0
180,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0
181,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0
182,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0
183,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0
184,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0
185,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0
186,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0
187,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
188,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
189,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
190,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0
191,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0
192,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0
193,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
194,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0
195,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0
196,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
197,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
198,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
199,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
200,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
201,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
202,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
203,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
204,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
205,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
206,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
